carat,table,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,dimension
0.23,55.0,326,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-2.452584708378405
0.21,61.0,326,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.630065961654116
0.29,58.0,334,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-2.048529668519855
0.31,58.0,335,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1.8319747339980075
0.24,57.0,336,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-2.451981751990001
0.24,57.0,336,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-2.4365675958730595
0.26,55.0,337,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-2.2505769228457617
0.23,61.0,338,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-2.390888615117378
0.3,55.0,339,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1.9436929917901264
0.23,56.0,340,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-2.505247363085969
0.22,61.0,342,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2.6285565293447117
0.31,54.0,344,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1.8285734122600756
0.2,62.0,345,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-2.7692112099421857
0.32,58.0,345,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.7887905990592574
0.3,54.0,348,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1.885961707862172
0.3,54.0,351,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1.9622444189056676
0.3,56.0,351,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1.9776191062293451
0.3,59.0,351,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-2.0041790895975597
0.3,56.0,351,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1.9322831137995222
0.23,55.0,352,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.5363124880794334
0.23,57.0,353,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-2.480011698874356
0.31,62.0,353,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1.7998574887240035
0.23,58.0,354,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2.428216051294528
0.24,57.0,355,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-2.449407968586541
0.3,57.0,357,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1.9353019784183312
0.23,61.0,357,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.4645580739641506
0.23,57.0,357,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-2.443630207411469
0.23,57.0,402,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-2.395799369164714
0.23,57.0,402,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-2.346419629815291
0.23,59.0,402,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-2.424211773168192
0.23,58.0,402,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-2.373925557897769
0.23,58.0,402,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2.4809971123818833
0.23,59.0,402,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-2.6025368782686744
0.31,54.0,402,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1.890308974314367
0.26,59.0,403,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.183288181562466
0.33,55.0,403,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1.6191205580699006
0.33,56.0,403,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1.6375930475989144
0.33,56.0,403,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1.6012904937225554
0.32,56.0,403,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1.819055423697998
0.29,58.0,403,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1.9951456510440955
0.32,55.0,403,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1.796275136510053
0.32,56.0,403,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1.783580408156111
0.25,60.0,404,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.3437437535223404
0.29,60.0,404,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1.8696016070309671
0.24,61.0,404,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2.3667840087728313
0.23,54.0,404,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-2.480957643588619
0.32,55.0,404,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1.6885216880510057
0.22,58.0,404,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.5317284088676555
